group,step,direction,most_AB,not_all,t,p,sig
30k-4c:0nc,2801,most_AB < not_all,0.7120148,0.9303407,-21.6637,2.98E-37,sig
30k-4c:0nc,2851,most_AB < not_all,0.7133333,0.9302963,-21.00748,2.96E-36,sig
30k-4c:0nc,2901,most_AB < not_all,0.7162963,0.9302963,-21.36239,8.50E-37,sig
30k-4c:0nc,2951,most_AB < not_all,0.7157037,0.9303111,-20.76546,6.98E-36,sig
30k-4c:0nc,3001,most_AB < not_all,0.7212148,0.9303111,-20.23705,4.66E-35,sig
30k-3c:1nc,51,most_AB < not_all,0.5091407,0.6712,-4.326809,3.95E-05,sig
30k-3c:1nc,101,most_AB < not_all,0.495763,0.8215556,-11.61877,1.57E-19,sig
30k-3c:1nc,151,most_AB < not_all,0.491763,0.8971407,-25.23733,2.47E-42,sig
30k-3c:1nc,201,most_AB < not_all,0.4744148,0.9204741,-39.30666,4.96E-58,sig
30k-3c:1nc,251,most_AB < not_all,0.465837,0.9262667,-49.05199,3.24E-66,sig
30k-3c:1nc,301,most_AB < not_all,0.4650074,0.9298074,-49.34697,1.94E-66,sig
30k-3c:1nc,351,most_AB < not_all,0.4677778,0.9297481,-47.38299,6.32E-65,sig
30k-3c:1nc,401,most_AB < not_all,0.4713185,0.9297481,-44.93479,5.88E-63,sig
30k-3c:1nc,451,most_AB < not_all,0.4786074,0.9297481,-40.9196,1.67E-59,sig
30k-3c:1nc,501,most_AB < not_all,0.4875259,0.9297481,-40.62527,3.07E-59,sig
30k-3c:1nc,551,most_AB < not_all,0.5019556,0.9297481,-40.02312,1.08E-58,sig
30k-3c:1nc,601,most_AB < not_all,0.5147111,0.9297481,-40.30977,5.93E-59,sig
30k-3c:1nc,651,most_AB < not_all,0.5250519,0.9297481,-35.7405,1.43E-54,sig
30k-3c:1nc,701,most_AB < not_all,0.5325926,0.9297481,-33.14618,7.35E-52,sig
30k-3c:1nc,751,most_AB < not_all,0.5437037,0.9297481,-36.85911,1.09E-55,sig
30k-3c:1nc,801,most_AB < not_all,0.5507852,0.9297481,-39.35714,4.46E-58,sig
30k-3c:1nc,851,most_AB < not_all,0.5595407,0.9297481,-41.00355,1.40E-59,sig
30k-3c:1nc,901,most_AB < not_all,0.57,0.9297481,-47.3483,6.72E-65,sig
30k-3c:1nc,951,most_AB < not_all,0.5771259,0.9297481,-50.4399,2.95E-67,sig
30k-3c:1nc,1001,most_AB < not_all,0.5820444,0.9297481,-48.3195,1.18E-65,sig
30k-3c:1nc,1051,most_AB < not_all,0.584963,0.9297481,-41.78317,2.85E-60,sig
30k-3c:1nc,1101,most_AB < not_all,0.5885481,0.9297481,-43.46072,1.01E-61,sig
30k-3c:1nc,1151,most_AB < not_all,0.5931407,0.9297481,-45.0211,4.99E-63,sig
30k-3c:1nc,1201,most_AB < not_all,0.5962963,0.9297481,-45.15989,3.84E-63,sig
30k-3c:1nc,1251,most_AB < not_all,0.6024444,0.9297481,-44.24508,2.20E-62,sig
30k-3c:1nc,1301,most_AB < not_all,0.6056148,0.9297481,-43.70589,6.24E-62,sig
30k-3c:1nc,1351,most_AB < not_all,0.6088593,0.9297481,-40.155,8.21E-59,sig
30k-3c:1nc,1401,most_AB < not_all,0.6148889,0.9297481,-38.09643,6.88E-57,sig
30k-3c:1nc,1451,most_AB < not_all,0.6186222,0.9297481,-36.68977,1.61E-55,sig
30k-3c:1nc,1501,most_AB < not_all,0.6200296,0.9297481,-36.55506,2.18E-55,sig
30k-3c:1nc,1551,most_AB < not_all,0.6214222,0.9297481,-34.89764,1.04E-53,sig
30k-3c:1nc,1601,most_AB < not_all,0.6234222,0.9297481,-34.7482,1.48E-53,sig
30k-3c:1nc,1651,most_AB < not_all,0.6290519,0.9297481,-32.62479,2.71E-51,sig
30k-3c:1nc,1701,most_AB < not_all,0.6309037,0.9297481,-32.03225,1.22E-50,sig
30k-3c:1nc,1751,most_AB < not_all,0.6343852,0.9297481,-30.94085,2.08E-49,sig
30k-3c:1nc,1801,most_AB < not_all,0.6365333,0.9297778,-30.51511,6.42E-49,sig
30k-3c:1nc,1851,most_AB < not_all,0.6379704,0.9297481,-29.73375,5.26E-48,sig
30k-3c:1nc,1901,most_AB < not_all,0.6399556,0.9297778,-29.39978,1.31E-47,sig
30k-3c:1nc,1951,most_AB < not_all,0.6436889,0.9297778,-27.24083,5.95E-45,sig
30k-3c:1nc,2001,most_AB < not_all,0.6443556,0.9298074,-28.62545,1.13E-46,sig
30k-3c:1nc,2051,most_AB < not_all,0.6499556,0.9298074,-26.88065,1.71E-44,sig
30k-3c:1nc,2101,most_AB < not_all,0.650163,0.929837,-27.16599,7.40E-45,sig
30k-3c:1nc,2151,most_AB < not_all,0.6567259,0.9298222,-25.3819,1.58E-42,sig
30k-3c:1nc,2201,most_AB < not_all,0.6577037,0.929837,-25.26918,2.23E-42,sig
30k-3c:1nc,2251,most_AB < not_all,0.657763,0.9298667,-25.41854,1.41E-42,sig
30k-3c:1nc,2301,most_AB < not_all,0.6605481,0.9298519,-24.87601,7.60E-42,sig
30k-3c:1nc,2351,most_AB < not_all,0.6610074,0.9298815,-25.10382,3.73E-42,sig
30k-3c:1nc,2401,most_AB < not_all,0.6642963,0.9299704,-24.3634,3.84E-41,sig
30k-3c:1nc,2451,most_AB < not_all,0.6681481,0.9299111,-23.61316,4.29E-40,sig
30k-3c:1nc,2501,most_AB < not_all,0.6681333,0.93,-23.67353,3.53E-40,sig
30k-3c:1nc,2551,most_AB < not_all,0.6696593,0.9300296,-23.61139,4.32E-40,sig
30k-3c:1nc,2601,most_AB < not_all,0.6706519,0.9300741,-23.85703,1.95E-40,sig
30k-3c:1nc,2651,most_AB < not_all,0.6738963,0.9300296,-22.91526,4.27E-39,sig
30k-3c:1nc,2701,most_AB < not_all,0.6718222,0.9300593,-23.4085,8.37E-40,sig
30k-3c:1nc,2751,most_AB < not_all,0.6742518,0.9300889,-22.95517,3.74E-39,sig
30k-3c:1nc,2801,most_AB < not_all,0.6749926,0.9301481,-22.97944,3.45E-39,sig
30k-3c:1nc,2851,most_AB < not_all,0.678163,0.9301481,-23.23273,1.49E-39,sig
30k-3c:1nc,2901,most_AB < not_all,0.6799259,0.9301481,-22.89984,4.49E-39,sig
30k-3c:1nc,2951,most_AB < not_all,0.6796741,0.930163,-22.74624,7.50E-39,sig
30k-3c:1nc,3001,most_AB < not_all,0.6826963,0.9302074,-21.9543,1.10E-37,sig
30k-2c:2nc,51,most_AB < not_all,0.4603852,0.6446815,-4.305345,4.28E-05,sig
30k-2c:2nc,101,most_AB < not_all,0.4512296,0.7907259,-11.26099,8.32E-19,sig
30k-2c:2nc,151,most_AB < not_all,0.4462074,0.8739407,-19.91564,1.50E-34,sig
30k-2c:2nc,201,most_AB < not_all,0.441363,0.9048148,-31.90009,1.71E-50,sig
30k-2c:2nc,251,most_AB < not_all,0.4370815,0.9260444,-72.71068,4.70E-81,sig
30k-2c:2nc,301,most_AB < not_all,0.4391407,0.9304444,-66.47672,1.19E-77,sig
30k-2c:2nc,351,most_AB < not_all,0.4455704,0.931363,-54.63967,2.98E-70,sig
30k-2c:2nc,401,most_AB < not_all,0.4508741,0.9314222,-55.51012,7.59E-71,sig
30k-2c:2nc,451,most_AB < not_all,0.4695852,0.9314222,-48.67992,6.24E-66,sig
30k-2c:2nc,501,most_AB < not_all,0.5041037,0.9314222,-35.98996,8.01E-55,sig
30k-2c:2nc,551,most_AB < not_all,0.5372444,0.9314222,-33.1187,7.87E-52,sig
30k-2c:2nc,601,most_AB < not_all,0.5680741,0.9314222,-29.54409,8.83E-48,sig
30k-2c:2nc,651,most_AB < not_all,0.5968,0.9314222,-28.4716,1.74E-46,sig
30k-2c:2nc,701,most_AB < not_all,0.6245333,0.9314222,-29.43723,1.18E-47,sig
30k-2c:2nc,751,most_AB < not_all,0.6525481,0.9314222,-29.01574,3.79E-47,sig
30k-2c:2nc,801,most_AB < not_all,0.6733333,0.9314222,-27.16827,7.35E-45,sig
30k-2c:2nc,851,most_AB < not_all,0.686963,0.9314222,-25.40724,1.46E-42,sig
30k-2c:2nc,901,most_AB < not_all,0.6966815,0.9314222,-24.44933,2.92E-41,sig
30k-2c:2nc,951,most_AB < not_all,0.7042074,0.9314222,-23.9989,1.23E-40,sig
30k-2c:2nc,1001,most_AB < not_all,0.7133481,0.9314222,-23.22806,1.51E-39,sig
30k-2c:2nc,1051,most_AB < not_all,0.7241778,0.9314222,-22.85804,5.16E-39,sig
30k-2c:2nc,1101,most_AB < not_all,0.7307111,0.9314222,-22.92232,4.17E-39,sig
30k-2c:2nc,1151,most_AB < not_all,0.7362074,0.9314222,-22.90684,4.39E-39,sig
30k-2c:2nc,1201,most_AB < not_all,0.7422963,0.9314222,-23.30164,1.19E-39,sig
30k-2c:2nc,1251,most_AB < not_all,0.743763,0.9314222,-23.6932,3.31E-40,sig
30k-2c:2nc,1301,most_AB < not_all,0.7522667,0.9314222,-23.31026,1.16E-39,sig
30k-2c:2nc,1351,most_AB < not_all,0.7597185,0.9314074,-24.20192,6.42E-41,sig
30k-2c:2nc,1401,most_AB < not_all,0.7628889,0.9314074,-25.03692,4.60E-42,sig
