group,step,direction,most_AB,all,t,p
30k-4c:0nc,2951,most_AB < all,0.7157037,0.9102815,-19.11347,2.93270687587874e-33
30k-4c:0nc,3001,most_AB < all,0.7212148,0.9102815,-18.59936,2.05325672480157e-32
30k-3c:1nc,51,most_AB > all,0.5091407,0.3661037,4.031584,0.000116647298738628
30k-3c:1nc,101,most_AB > all,0.495763,0.3038519,5.952994,5.12769701513927e-08
30k-3c:1nc,151,most_AB > all,0.491763,0.250237,7.91054,6.62685317883835e-12
30k-3c:1nc,201,most_AB > all,0.4744148,0.2295111,8.435023,5.53189181317683e-13
30k-3c:1nc,251,most_AB > all,0.465837,0.2229778,8.790411,1.01992890252649e-13
30k-3c:1nc,301,most_AB > all,0.4650074,0.2263111,8.51925,3.70709876588062e-13
30k-3c:1nc,351,most_AB > all,0.4677778,0.2382667,8.105733,2.63578151532098e-12
30k-3c:1nc,401,most_AB > all,0.4713185,0.2584593,7.14345,2.39018383647435e-10
30k-3c:1nc,451,most_AB > all,0.4786074,0.2876148,6.00551,4.07470120015369e-08
30k-3c:1nc,501,most_AB > all,0.4875259,0.3343407,4.489614,2.1303335681637e-05
30k-3c:1nc,551,most_AB > all,0.5019556,0.3703704,3.65449,0.000435231276406548
30k-3c:1nc,601,most_AB > all,0.5147111,0.4034963,3.05334,0.0029844264630321
30k-3c:1nc,651,most_AB > all,0.5250519,0.4409926,2.302378,0.0236465390037314
30k-3c:1nc,901,most_AB < all,0.57,0.6735556,-3.229837,0.0017359738272203
30k-3c:1nc,951,most_AB < all,0.5771259,0.7082519,-4.418972,2.78782920455303e-05
30k-3c:1nc,1001,most_AB < all,0.5820444,0.7406519,-5.744053,1.2696798050265e-07
30k-3c:1nc,1051,most_AB < all,0.584963,0.7731852,-7.559239,3.45256638725178e-11
30k-3c:1nc,1101,most_AB < all,0.5885481,0.8057333,-10.60752,1.79732735979653e-17
30k-3c:1nc,1151,most_AB < all,0.5931407,0.827363,-13.70514,1.19486051877248e-23
30k-3c:1nc,1201,most_AB < all,0.5962963,0.8471852,-17.69941,6.69646261788221e-31
30k-3c:1nc,1251,most_AB < all,0.6024444,0.8617185,-22.3161,3.19202986976101e-38
30k-3c:1nc,1301,most_AB < all,0.6056148,0.8741778,-28.11973,4.71181889758136e-46
30k-3c:1nc,1351,most_AB < all,0.6088593,0.8808741,-28.3279,2.60882725076263e-46
30k-3c:1nc,1401,most_AB < all,0.6148889,0.8885333,-31.69316,2.91896103905587e-50
30k-3c:1nc,1451,most_AB < all,0.6186222,0.8955556,-33.99046,9.21864944461505e-53
30k-3c:1nc,1501,most_AB < all,0.6200296,0.8987556,-34.24341,4.99135895827083e-53
30k-3c:1nc,1551,most_AB < all,0.6214222,0.9008889,-33.39398,3.97884813141422e-52
30k-3c:1nc,1601,most_AB < all,0.6234222,0.9032444,-33.88503,1.19185041576983e-52
30k-3c:1nc,1651,most_AB < all,0.6290519,0.9039259,-31.74151,2.57656412029617e-50
30k-3c:1nc,1701,most_AB < all,0.6309037,0.9050222,-31.08743,1.4125246593711e-49
30k-3c:1nc,1751,most_AB < all,0.6343852,0.9062519,-29.82381,4.1204953973916e-48
30k-3c:1nc,1801,most_AB < all,0.6365333,0.9071556,-29.43318,1.19717649159444e-47
30k-3c:1nc,1851,most_AB < all,0.6379704,0.9075852,-28.81066,6.71138230821437e-47
30k-3c:1nc,1901,most_AB < all,0.6399556,0.9080444,-28.18625,3.89928225980715e-46
30k-3c:1nc,1951,most_AB < all,0.6436889,0.9083852,-26.13155,1.60124588243258e-43
30k-3c:1nc,2001,most_AB < all,0.6443556,0.9084741,-27.54431,2.45972167947141e-45
30k-3c:1nc,2051,most_AB < all,0.6499556,0.9088296,-25.60579,7.92205831387447e-43
30k-3c:1nc,2101,most_AB < all,0.650163,0.9087111,-25.91416,3.09207401327492e-43
30k-3c:1nc,2151,most_AB < all,0.6567259,0.9087407,-24.02425,1.13475988682543e-40
30k-3c:1nc,2201,most_AB < all,0.6577037,0.9089481,-23.77856,2.50757359820857e-40
30k-3c:1nc,2251,most_AB < all,0.657763,0.9087556,-23.87132,1.85759031224396e-40
30k-3c:1nc,2301,most_AB < all,0.6605481,0.9087852,-23.39524,8.74465977570454e-40
30k-3c:1nc,2351,most_AB < all,0.6610074,0.9089778,-23.57368,4.87992852152506e-40
30k-3c:1nc,2401,most_AB < all,0.6642963,0.9087556,-22.79684,6.33256299335604e-39
30k-3c:1nc,2451,most_AB < all,0.6681481,0.9086074,-21.96954,1.04015317993787e-37
30k-3c:1nc,2501,most_AB < all,0.6681333,0.9086815,-22.06393,7.53030899550697e-38
30k-3c:1nc,2551,most_AB < all,0.6696593,0.9087407,-21.98168,9.9775786440395e-38
30k-3c:1nc,2601,most_AB < all,0.6706519,0.9087852,-22.19738,4.7773162920386e-38
30k-3c:1nc,2651,most_AB < all,0.6738963,0.9087704,-21.31073,1.01853740254141e-36
30k-3c:1nc,2701,most_AB < all,0.6718222,0.9087111,-21.72938,2.3764023377867e-37
30k-3c:1nc,2751,most_AB < all,0.6742518,0.9087704,-21.27441,1.15667378731688e-36
30k-3c:1nc,2801,most_AB < all,0.6749926,0.9088,-21.28953,1.09700071832602e-36
30k-3c:1nc,2851,most_AB < all,0.678163,0.9087259,-21.5592,4.28393463212691e-37
30k-3c:1nc,2901,most_AB < all,0.6799259,0.9087704,-21.26505,1.19525489052959e-36
30k-3c:1nc,2951,most_AB < all,0.6796741,0.9087407,-21.12969,1.92270865045889e-36
30k-3c:1nc,3001,most_AB < all,0.6826963,0.9087407,-20.34026,3.20561806797907e-35
30k-2c:2nc,101,most_AB > all,0.4512296,0.3529778,2.641762,0.00974245988057593
30k-2c:2nc,151,most_AB > all,0.4462074,0.3052,4.141862,7.82165690911536e-05
30k-2c:2nc,201,most_AB > all,0.441363,0.2766815,5.212472,1.19749071291789e-06
30k-2c:2nc,251,most_AB > all,0.4370815,0.2720593,5.181504,1.36056347300068e-06
30k-2c:2nc,301,most_AB > all,0.4391407,0.2750963,5.150633,1.54467648787349e-06
30k-2c:2nc,351,most_AB > all,0.4455704,0.2816296,5.062059,2.21869126410332e-06
30k-2c:2nc,401,most_AB > all,0.4508741,0.3025481,4.559385,1.62956184833588e-05
30k-2c:2nc,451,most_AB > all,0.4695852,0.334163,4.279533,4.70747223933148e-05
30k-2c:2nc,501,most_AB > all,0.5041037,0.3852741,3.553837,0.000610110902611152
30k-2c:2nc,551,most_AB > all,0.5372444,0.4388148,2.951868,0.00403784973899259
30k-2c:2nc,601,most_AB > all,0.5680741,0.4837482,2.448579,0.0163029808645031
30k-2c:2nc,1101,most_AB < all,0.7307111,0.7825333,-2.070182,0.0413330114957949
30k-2c:2nc,1151,most_AB < all,0.7362074,0.7996593,-2.808939,0.00610944821082939
30k-2c:2nc,1201,most_AB < all,0.7422963,0.8170667,-3.632087,0.000469454348310441
30k-2c:2nc,1251,most_AB < all,0.743763,0.8338519,-4.766878,7.24947614610176e-06
30k-2c:2nc,1301,most_AB < all,0.7522667,0.8474222,-5.766386,1.15311290153753e-07
30k-2c:2nc,1351,most_AB < all,0.7597185,0.8576148,-6.5599,3.4489074675736e-09
30k-2c:2nc,1401,most_AB < all,0.7628889,0.870637,-8.245295,1.3610869022172e-12
