group,step,direction,most_BA,not_only,t,p,sig
30k-2c:2nc,2851,most_BA < not_only,0.804563,0.9294815,-36.04694,7.02E-55,sig
30k-2c:2nc,2901,most_BA < not_only,0.8066815,0.9295111,-36.1428,5.63E-55,sig
30k-2c:2nc,2951,most_BA < not_only,0.8081185,0.9295111,-35.65896,1.73E-54,sig
30k-2c:2nc,3001,most_BA < not_only,0.8072296,0.9295111,-37.03755,7.30E-56,sig
30k-1c:3nc,1,most_BA < not_only,0.4921481,0.6263259,-3.023752,0.003261734,not sig
30k-1c:3nc,51,most_BA < not_only,0.4817778,0.8047852,-10.04119,2.63E-16,sig
30k-1c:3nc,101,most_BA < not_only,0.4681185,0.8789185,-17.05991,8.47E-30,sig
30k-1c:3nc,151,most_BA < not_only,0.4543852,0.9043259,-24.39309,3.49E-41,sig
30k-1c:3nc,201,most_BA < not_only,0.4474963,0.9120889,-29.69952,5.78E-48,sig
30k-1c:3nc,251,most_BA < not_only,0.4461926,0.9289926,-59.62834,1.53E-73,sig
30k-1c:3nc,301,most_BA < not_only,0.4449778,0.9315704,-64.25266,2.31E-76,sig
30k-1c:3nc,351,most_BA < not_only,0.4486222,0.9315704,-62.08576,4.58E-75,sig
30k-1c:3nc,401,most_BA < not_only,0.4536,0.9315704,-57.82181,2.22E-72,sig
30k-1c:3nc,451,most_BA < not_only,0.456,0.9315704,-54.05665,7.53E-70,sig
30k-1c:3nc,501,most_BA < not_only,0.4621778,0.9315704,-50.24192,4.14E-67,sig
30k-1c:3nc,551,most_BA < not_only,0.4760593,0.9315704,-51.91541,2.46E-68,sig
30k-1c:3nc,601,most_BA < not_only,0.4888889,0.9315704,-50.84535,1.48E-67,sig
30k-1c:3nc,651,most_BA < not_only,0.5140296,0.9315704,-49.09301,3.02E-66,sig
30k-1c:3nc,701,most_BA < not_only,0.5351407,0.9315704,-48.97295,3.73E-66,sig
30k-1c:3nc,751,most_BA < not_only,0.5527407,0.9315704,-45.8158,1.12E-63,sig
30k-1c:3nc,801,most_BA < not_only,0.568563,0.9315704,-47.26067,7.88E-65,sig
30k-1c:3nc,851,most_BA < not_only,0.5789482,0.9315704,-47.82405,2.86E-65,sig
30k-1c:3nc,901,most_BA < not_only,0.5821037,0.9315704,-47.44029,5.69E-65,sig
30k-1c:3nc,951,most_BA < not_only,0.5862519,0.9315704,-46.85486,1.65E-64,sig
30k-1c:3nc,1001,most_BA < not_only,0.5936,0.9315704,-46.42649,3.62E-64,sig
30k-1c:3nc,1051,most_BA < not_only,0.5979704,0.9315704,-47.10784,1.04E-64,sig
30k-1c:3nc,1101,most_BA < not_only,0.6009778,0.9315704,-44.55217,1.22E-62,sig
30k-1c:3nc,1151,most_BA < not_only,0.6077778,0.9315704,-40.67873,2.75E-59,sig
30k-1c:3nc,1201,most_BA < not_only,0.6106667,0.9315704,-40.25071,6.71E-59,sig
30k-1c:3nc,1251,most_BA < not_only,0.6180593,0.9315704,-36.91718,9.58E-56,sig
30k-1c:3nc,1301,most_BA < not_only,0.6201185,0.9315704,-35.62322,1.88E-54,sig
30k-1c:3nc,1351,most_BA < not_only,0.6213185,0.9315704,-35.04174,7.38E-54,sig
30k-1c:3nc,1401,most_BA < not_only,0.6213926,0.9315704,-33.77815,1.55E-52,sig
30k-1c:3nc,1451,most_BA < not_only,0.6279852,0.9315704,-31.57563,3.96E-50,sig
30k-1c:3nc,1501,most_BA < not_only,0.6294667,0.9315704,-31.69242,2.92E-50,sig
30k-1c:3nc,1551,most_BA < not_only,0.6342963,0.9315704,-30.12692,1.82E-48,sig
30k-1c:3nc,1601,most_BA < not_only,0.6375111,0.9315704,-29.66154,6.41E-48,sig
30k-1c:3nc,1651,most_BA < not_only,0.6359259,0.9315852,-30.92731,2.15E-49,sig
30k-1c:3nc,1701,most_BA < not_only,0.645837,0.9315852,-28.07827,5.30E-46,sig
30k-1c:3nc,1751,most_BA < not_only,0.646963,0.9315852,-28.47013,1.75E-46,sig
30k-1c:3nc,1801,most_BA < not_only,0.6485778,0.9315852,-27.14613,7.84E-45,sig
30k-1c:3nc,1851,most_BA < not_only,0.6490074,0.9315852,-27.38945,3.86E-45,sig
30k-1c:3nc,1901,most_BA < not_only,0.6529778,0.9315852,-26.40601,7.02E-44,sig
30k-1c:3nc,1951,most_BA < not_only,0.6569037,0.9315852,-25.09707,3.81E-42,sig
30k-1c:3nc,2001,most_BA < not_only,0.6604444,0.9316,-25.20762,2.70E-42,sig
30k-1c:3nc,2051,most_BA < not_only,0.6660741,0.9315852,-24.31962,4.41E-41,sig
30k-1c:3nc,2101,most_BA < not_only,0.6731259,0.9315852,-23.67737,3.48E-40,sig
30k-1c:3nc,2151,most_BA < not_only,0.6737481,0.9316,-23.56339,5.05E-40,sig
30k-1c:3nc,2201,most_BA < not_only,0.6784296,0.9316,-23.29203,1.23E-39,sig
30k-1c:3nc,2251,most_BA < not_only,0.6810222,0.9316,-22.64613,1.05E-38,sig
30k-1c:3nc,2301,most_BA < not_only,0.6807259,0.9316148,-23.36991,9.50E-40,sig
30k-1c:3nc,2351,most_BA < not_only,0.6837333,0.9316148,-23.28656,1.25E-39,sig
30k-1c:3nc,2401,most_BA < not_only,0.6892296,0.9316148,-22.73574,7.77E-39,sig
30k-1c:3nc,2451,most_BA < not_only,0.6928889,0.9316444,-22.15474,5.52E-38,sig
30k-1c:3nc,2501,most_BA < not_only,0.6952148,0.9316444,-21.89435,1.35E-37,sig
30k-1c:3nc,2551,most_BA < not_only,0.6993333,0.9316444,-21.37166,8.23E-37,sig
30k-1c:3nc,2601,most_BA < not_only,0.6992444,0.9316444,-21.28329,1.12E-36,sig
30k-1c:3nc,2651,most_BA < not_only,0.6972741,0.9316593,-21.77653,2.02E-37,sig
30k-1c:3nc,2701,most_BA < not_only,0.7000148,0.9316889,-20.88481,4.57E-36,sig
30k-1c:3nc,2751,most_BA < not_only,0.7007259,0.9317185,-21.04632,2.58E-36,sig
30k-1c:3nc,2801,most_BA < not_only,0.7096593,0.9317037,-20.409,2.50E-35,sig
30k-1c:3nc,2851,most_BA < not_only,0.7084296,0.9317333,-21.12274,1.97E-36,sig
30k-1c:3nc,2901,most_BA < not_only,0.7110519,0.9317185,-21.09348,2.18E-36,sig
30k-1c:3nc,2951,most_BA < not_only,0.7153778,0.9317185,-20.78514,6.51E-36,sig
30k-1c:3nc,3001,most_BA < not_only,0.7207556,0.9317185,-21.29456,1.08E-36,sig
30k-0c:4nc,151,most_BA < not_only,0.5431161,0.6500974,-2.935194,0.004251664,not sig
30k-0c:4nc,201,most_BA < not_only,0.5469363,0.741588,-6.875961,8.54E-10,sig
30k-0c:4nc,251,most_BA < not_only,0.5446442,0.8350562,-15.03879,4.79E-26,sig
30k-0c:4nc,301,most_BA < not_only,0.5444644,0.8817828,-23.58346,8.33E-40,sig
30k-0c:4nc,351,most_BA < not_only,0.5466816,0.9147116,-40.33484,1.55E-58,sig
30k-0c:4nc,401,most_BA < not_only,0.548,0.9247341,-41.00446,3.91E-59,sig
30k-0c:4nc,451,most_BA < not_only,0.5452734,0.9309813,-42.17625,3.69E-60,sig
30k-0c:4nc,501,most_BA < not_only,0.5502322,0.9324045,-43.52799,2.61E-61,sig
30k-0c:4nc,551,most_BA < not_only,0.5559401,0.9332884,-43.82916,1.46E-61,sig
30k-0c:4nc,601,most_BA < not_only,0.5602397,0.9334532,-42.87631,9.27E-61,sig
30k-0c:4nc,651,most_BA < not_only,0.5669963,0.9336779,-37.2617,1.13E-55,sig
30k-0c:4nc,701,most_BA < not_only,0.5744569,0.933588,-42.14645,3.92E-60,sig
30k-0c:4nc,751,most_BA < not_only,0.5839401,0.9334682,-42.30728,2.85E-60,sig
30k-0c:4nc,801,most_BA < not_only,0.5873109,0.9334831,-44.31183,5.80E-62,sig
30k-0c:4nc,851,most_BA < not_only,0.5860674,0.9334981,-44.12061,8.35E-62,sig
30k-0c:4nc,901,most_BA < not_only,0.5924345,0.9335281,-35.4197,7.43E-54,sig
30k-0c:4nc,951,most_BA < not_only,0.6035056,0.9335281,-40.97227,4.18E-59,sig
30k-0c:4nc,1001,most_BA < not_only,0.6120749,0.933573,-36.0995,1.55E-54,sig
30k-0c:4nc,1051,most_BA < not_only,0.6162996,0.9335581,-34.79585,3.20E-53,sig
30k-0c:4nc,1101,most_BA < not_only,0.6164644,0.9335281,-36.88635,2.61E-55,sig
30k-0c:4nc,1151,most_BA < not_only,0.619176,0.9334981,-33.35717,1.02E-51,sig
30k-0c:4nc,1201,most_BA < not_only,0.6314457,0.9335281,-32.35502,1.22E-50,sig
30k-0c:4nc,1251,most_BA < not_only,0.6361648,0.9335281,-31.44154,1.24E-49,sig
30k-0c:4nc,1301,most_BA < not_only,0.6411835,0.9334981,-30.23105,2.94E-48,sig
30k-0c:4nc,1351,most_BA < not_only,0.641618,0.9334981,-28.66424,2.08E-46,sig
30k-0c:4nc,1401,most_BA < not_only,0.6402697,0.9335131,-30.19285,3.26E-48,sig
30k-0c:4nc,1451,most_BA < not_only,0.6483446,0.9335131,-27.52868,5.11E-45,sig
