group,step,direction,most_BA,only,t,p,sig
30k-1c:3nc,251,most_BA > only,0.4461926,0.2612889,6.108013,2.60E-08,sig
30k-1c:3nc,301,most_BA > only,0.4449778,0.268563,5.770773,1.13E-07,sig
30k-1c:3nc,351,most_BA > only,0.4486222,0.2727852,5.751597,1.23E-07,sig
30k-1c:3nc,401,most_BA > only,0.4536,0.2930074,5.182823,1.35E-06,sig
30k-1c:3nc,451,most_BA > only,0.456,0.3318815,3.784399,0.00027901,not sig
30k-1c:3nc,501,most_BA > only,0.4621778,0.3678519,2.668857,0.009044684,not sig
30k-1c:3nc,901,most_BA < only,0.5821037,0.6941481,-3.579029,0.000560969,not sig
30k-1c:3nc,951,most_BA < only,0.5862519,0.7341778,-5.378542,6.00E-07,sig
30k-1c:3nc,1001,most_BA < only,0.5936,0.7615407,-6.60098,2.86E-09,sig
30k-1c:3nc,1051,most_BA < only,0.5979704,0.7858815,-7.969578,5.02E-12,sig
30k-1c:3nc,1101,most_BA < only,0.6009778,0.7995704,-8.754832,1.21E-13,sig
30k-1c:3nc,1151,most_BA < only,0.6077778,0.8188444,-9.927574,4.52E-16,sig
30k-1c:3nc,1201,most_BA < only,0.6106667,0.833363,-11.11163,1.67E-18,sig
30k-1c:3nc,1251,most_BA < only,0.6180593,0.8426074,-11.3354,5.87E-19,sig
30k-1c:3nc,1301,most_BA < only,0.6201185,0.8551259,-12.56787,1.98E-21,sig
30k-1c:3nc,1351,most_BA < only,0.6213185,0.8649926,-14.0095,3.12E-24,sig
30k-1c:3nc,1401,most_BA < only,0.6213926,0.8765037,-17.77638,4.95E-31,sig
30k-1c:3nc,1451,most_BA < only,0.6279852,0.8836593,-19.90826,1.54E-34,sig
30k-1c:3nc,1501,most_BA < only,0.6294667,0.8912741,-23.48409,6.54E-40,sig
30k-1c:3nc,1551,most_BA < only,0.6342963,0.8956889,-24.37877,3.65E-41,sig
30k-1c:3nc,1601,most_BA < only,0.6375111,0.8988889,-25.20248,2.75E-42,sig
30k-1c:3nc,1651,most_BA < only,0.6359259,0.9020296,-26.90514,1.59E-44,sig
30k-1c:3nc,1701,most_BA < only,0.645837,0.9039556,-25.20991,2.68E-42,sig
30k-1c:3nc,1751,most_BA < only,0.646963,0.9057926,-26.04804,2.06E-43,sig
30k-1c:3nc,1801,most_BA < only,0.6485778,0.9069778,-24.84223,8.45E-42,sig
30k-1c:3nc,1851,most_BA < only,0.6490074,0.9077482,-25.35496,1.71E-42,sig
30k-1c:3nc,1901,most_BA < only,0.6529778,0.9079852,-24.68556,1.38E-41,sig
30k-1c:3nc,1951,most_BA < only,0.6569037,0.9093185,-23.59217,4.59E-40,sig
30k-1c:3nc,2001,most_BA < only,0.6604444,0.9101185,-23.64153,3.91E-40,sig
30k-1c:3nc,2051,most_BA < only,0.6660741,0.9103111,-22.72112,8.16E-39,sig
30k-1c:3nc,2101,most_BA < only,0.6731259,0.9109482,-21.9596,1.08E-37,sig
30k-1c:3nc,2151,most_BA < only,0.6737481,0.9111407,-21.87071,1.46E-37,sig
30k-1c:3nc,2201,most_BA < only,0.6784296,0.9115111,-21.49667,5.32E-37,sig
30k-1c:3nc,2251,most_BA < only,0.6810222,0.9116,-20.90344,4.28E-36,sig
30k-1c:3nc,2301,most_BA < only,0.6807259,0.9115407,-21.48862,5.48E-37,sig
30k-1c:3nc,2351,most_BA < only,0.6837333,0.9114518,-21.36076,8.55E-37,sig
30k-1c:3nc,2401,most_BA < only,0.6892296,0.9115111,-20.78757,6.45E-36,sig
