,equal_number_accuracy,even_AnonB_accuracy,global_step,less_A_than_B_accuracy,loss,more_A_than_B_accuracy,no_more_A_than_B_accuracy,nonequal_number_accuracy,total_accuracy
0,0.4752925932407379,0.4876880943775177,5152,0.4505208432674408,1.0485055446624756,0.4047619104385376,0.7526595592498779,0.1749347299337387,0.46316665410995483
1,0.4934980571269989,0.4876880943775177,5202,0.4283854067325592,0.9532240629196167,0.4047619104385376,0.791223406791687,0.1749347299337387,0.4698333442211151
2,0.5169050693511963,0.4876880943775177,5252,0.41796875,0.8637762069702148,0.40336135029792786,0.7805851101875305,0.1749347299337387,0.4729999899864197
3,0.5208062529563904,0.4876880943775177,5302,0.3841145932674408,0.8124390244483948,0.40336135029792786,0.8098404407501221,0.1749347299337387,0.47333332896232605
4,0.5435630679130554,0.4876880943775177,5352,0.3854166567325592,0.7793887257575989,0.40336135029792786,0.7992021441459656,0.1749347299337387,0.4779999852180481
5,0.576723039150238,0.4876880943775177,5402,0.3815104067325592,0.7452802062034607,0.40336135029792786,0.7872340679168701,0.1749347299337387,0.484499990940094
6,0.5988296270370483,0.4883720874786377,5452,0.38671875,0.7227585911750793,0.40336135029792786,0.789893627166748,0.1762402057647705,0.49149999022483826
7,0.618335485458374,0.4883720874786377,5502,0.3932291567325592,0.7073115706443787,0.4047619104385376,0.7992021441459656,0.1775456964969635,0.4988333284854889
8,0.6371911764144897,0.4870041012763977,5552,0.3997395932674408,0.6955965757369995,0.4005602300167084,0.7885638475418091,0.18537859618663788,0.503333330154419
9,0.6430429220199585,0.48221614956855774,5602,0.4010416567325592,0.6857457160949707,0.3949579894542694,0.789893627166748,0.23629242181777954,0.5098333358764648
10,0.6592977643013,0.4876880943775177,5652,0.4088541567325592,0.6771276593208313,0.39355742931365967,0.789893627166748,0.351174920797348,0.5308333039283752
11,0.6794538497924805,0.4733242094516754,5702,0.4127604067325592,0.6677525043487549,0.3949579894542694,0.7859042286872864,0.48302870988845825,0.5494999885559082
12,0.6866059899330139,0.46580028533935547,5752,0.4205729067325592,0.6617292165756226,0.39355742931365967,0.789893627166748,0.5587467551231384,0.5605000257492065
13,0.6898569464683533,0.4651162922382355,5802,0.4270833432674408,0.6555500626564026,0.3851540684700012,0.7938829660415649,0.6174934506416321,0.5690000057220459
14,0.6898569464683533,0.4726402163505554,5852,0.4296875,0.6506531238555908,0.38235294818878174,0.8085106611251831,0.6605744361877441,0.578166663646698
15,0.6944082975387573,0.4767441749572754,5902,0.4388020932674408,0.646099328994751,0.37955182790756226,0.811170220375061,0.702349841594696,0.5868333578109741
16,0.7041612267494202,0.4781121611595154,5952,0.43359375,0.6408523321151733,0.37955182790756226,0.813829779624939,0.7219321131706238,0.5918333530426025
17,0.7061118483543396,0.4781121611595154,6002,0.4596354067325592,0.6358152627944946,0.3669467866420746,0.8244680762290955,0.7375978827476501,0.5975000262260437
18,0.7002601027488708,0.4863201081752777,6052,0.4583333432674408,0.6330180764198303,0.3641456663608551,0.8311170339584351,0.7610965967178345,0.6013333201408386
19,0.7204161286354065,0.47879618406295776,6102,0.49609375,0.6259587407112122,0.3403361439704895,0.8244680762290955,0.7610965967178345,0.6058333516120911
20,0.7334200143814087,0.47879618406295776,6152,0.5091145634651184,0.6211798191070557,0.30392158031463623,0.8231382966041565,0.7663185596466064,0.6069999933242798
21,0.7392717599868774,0.48016417026519775,6202,0.515625,0.61546391248703,0.33193278312683105,0.811170220375061,0.7728459239006042,0.612333357334137
22,0.7438231706619263,0.4863201081752777,6252,0.5143229365348816,0.6115575432777405,0.36554622650146484,0.813829779624939,0.7872062921524048,0.6209999918937683
23,0.7464239001274109,0.48084816336631775,6302,0.5390625,0.6086674332618713,0.39915966987609863,0.813829779624939,0.7859007716178894,0.6273333430290222
24,0.7438231706619263,0.4849521219730377,6352,0.5416666865348816,0.6066064834594727,0.40616247057914734,0.8218085169792175,0.7832897901535034,0.6294999718666077
25,0.749674916267395,0.5020520091056824,6402,0.5416666865348816,0.6038526892662048,0.4145658314228058,0.8271276354789734,0.7872062921524048,0.637333333492279
26,0.7535760998725891,0.5020520091056824,6452,0.56640625,0.6009856462478638,0.44677871465682983,0.8284574747085571,0.7885117530822754,0.6456666588783264
27,0.754876434803009,0.4911080598831177,6502,0.5729166865348816,0.599155068397522,0.4551820755004883,0.832446813583374,0.7885117530822754,0.6456666588783264
28,0.7542262673377991,0.4849521219730377,6552,0.5859375,0.598013162612915,0.47058823704719543,0.832446813583374,0.7885117530822754,0.6474999785423279
29,0.7665799856185913,0.4781121611595154,6602,0.5872395634651184,0.595568835735321,0.4957983195781708,0.8178191781044006,0.7885117530822754,0.6503333449363708
30,0.7516254782676697,0.49863201379776,6652,0.5768229365348816,0.5954115986824036,0.4663865566253662,0.832446813583374,0.792428195476532,0.6489999890327454
31,0.7633289694786072,0.50273597240448,6702,0.5794270634651184,0.5923012495040894,0.48179271817207336,0.8377659320831299,0.795039176940918,0.656166672706604
32,0.7724317312240601,0.50136798620224,6752,0.5755208134651184,0.58985835313797,0.5028011202812195,0.8231382966041565,0.7963446378707886,0.6585000157356262
33,0.7691807746887207,0.5034199953079224,6802,0.5859375,0.5891051292419434,0.49859943985939026,0.832446813583374,0.7963446378707886,0.6601666808128357
34,0.7711313366889954,0.50136798620224,6852,0.5833333134651184,0.587870717048645,0.5028011202812195,0.8390957713127136,0.797650158405304,0.6613333225250244
35,0.767880380153656,0.50273597240448,6902,0.5807291865348816,0.5878216624259949,0.4971988797187805,0.8470744490623474,0.7989556193351746,0.6610000133514404
36,0.7737321257591248,0.5006840229034424,6952,0.578125,0.5855611562728882,0.49859943985939026,0.8484042286872864,0.7989556193351746,0.6620000004768372
37,0.7737321257591248,0.50136798620224,7002,0.5859375,0.5848088264465332,0.49859943985939026,0.855053186416626,0.8002610802650452,0.6641666889190674
38,0.7743822932243347,0.50273597240448,7052,0.5859375,0.5836790800094604,0.49859943985939026,0.8617021441459656,0.8015666007995605,0.6656666398048401
39,0.7743822932243347,0.5020520091056824,7102,0.5885416865348816,0.5829084515571594,0.49859943985939026,0.8643617033958435,0.8041775226593018,0.6664999723434448
40,0.7789337038993835,0.5034199953079224,7152,0.5911458134651184,0.5813071131706238,0.5070028305053711,0.8617021441459656,0.8002610802650452,0.6685000061988831
41,0.7815344333648682,0.5020520091056824,7202,0.5911458134651184,0.5806860327720642,0.5112044811248779,0.8590425252914429,0.8041775226593018,0.6694999933242798
42,0.7821846604347229,0.5020520091056824,7252,0.5950520634651184,0.5799567103385925,0.523809552192688,0.8603723645210266,0.8067885041236877,0.672166645526886
43,0.7782834768295288,0.5047879815101624,7302,0.59375,0.5793512463569641,0.5210084319114685,0.8710106611251831,0.8120104670524597,0.6733333468437195
44,0.7776333093643188,0.5034199953079224,7352,0.59375,0.5782493352890015,0.5336134433746338,0.8683510422706604,0.8120104670524597,0.6740000247955322
45,0.7808842658996582,0.50136798620224,7402,0.59375,0.5773383378982544,0.5364145636558533,0.8683510422706604,0.8120104670524597,0.6746666431427002
46,0.7815344333648682,0.5020520091056824,7452,0.59375,0.5770533680915833,0.5448179244995117,0.8710106611251831,0.8120104670524597,0.6763333082199097
47,0.7808842658996582,0.5006840229034424,7502,0.59375,0.5763900279998779,0.5448179244995117,0.8670212626457214,0.8120104670524597,0.6753333210945129
